"ASXL1" "BCOR" "BCORL1" "CALR" "CBL" "CEBPA" "CREBBP" "CUX1" "DDX41" "DNMT3A" "ETV6" "EZH2" "FLT3" "GATA2" "IDH1" "IDH2" "JAK2" "KDM6A" "KIT" "KRAS" "MPL" "NF1" "NPM1" "NRAS" "PHF6" "PTPN11" "RAD21" "RUNX1" "SETBP1" "SF3B1" "SRSF2" "STAG2" "SUZ12" "TET2" "TP53" "U2AF1" "WT1" "ZRSR2" "CG_5" "CG_7" "CG_8" "CG_Y" "CG_11" "CG_inv16" "CG_8_21" "CG_20" "PB_ANC" "PB_AMC" "PB_WBC" "PB_PLT" "PB_HGB" "PB_Blast" "BM_Blast" "BM_Mono" "BM_Gran" "BM_AuerRods" "BM_Dysplasias" "cancer_type" "age" "sex"
"ASXL1" 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
"BCOR" 2 2 2 2 2 2 2 2 2 1 2 2 2 2 1 1 2 1 2 2 2 2 1 2 1 2 2 1 2 2 2 1 2 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
"BCORL1" 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
"CALR" 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
"CBL" 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
"CEBPA" 2 2 2 2 2 2 2 2 2 1 2 2 1 2 1 1 2 1 1 1 2 1 1 1 1 2 2 1 2 2 2 2 2 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
"CREBBP" 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
"CUX1" 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
"DDX41" 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
"DNMT3A" 2 1 2 2 2 1 2 2 2 2 2 2 1 2 1 1 2 1 1 1 2 1 1 1 1 2 2 1 2 2 2 2 2 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
